country,plant_name,capacity_megawatt,energy_source
Argentina,"CAPITAL CATAMARCA - PREDIO EX CARCEL",7.075,"Oil"
Argentina,"CAPITAL CATAMARCA - PREDIO RIPIERA",4.675,"Oil"
Argentina,"CASA DE PIEDRA",60,"Hydro"
Argentina,CASSAFFOUSTH,17.28,"Hydro"
Argentina,"CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA",620,"Coal"
Argentina,"CENTRAL LOMA DE LA LATA SA",540,"Gas"
Argentina,"CENTRAL PARQUE INDUSTRIAL LA BANDA",11.228,"Oil"
Argentina,"CENTRAL T.GENELBA",673.6,"Gas"
Argentina,"CENTRAL T.GENELBA PLUS",164.55,"Gas"
Argentina,"CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA)",280,"Gas"
Argentina,"CENTRAL TERMICA DE CICLO COMBINADO SALTA",643,"Gas"
Argentina,"CENTRAL TERMICA GÜEMES SA",361,"Coal"
Argentina,"CENTRAL TERMICA LA BANDA",32,"Gas"
Argentina,"CENTRAL TERMICA PIQUIRENDA SA",30.44,"Oil"
Argentina,"CENTRAL TERMICA REMEDIOS DE ESCALADA",25,"Oil"
Argentina,"CENTRAL TERMOELECTRICA GUILLERMO BROWN",524,"Gas"
Argentina,"CENTRAL TERMOELECTRICA MANUEL BELGRANO",868.2,"Gas"
Argentina,"CENTRAL TERMOELECTRICA TIMBUES",865.14,"Gas"
Argentina,"CH LOS CARACOLES",121.4,"Hydro"
Argentina,CHILECITO,5,"Oil"
Argentina,"CHIMBERA 1",2,"Solar"
Argentina,CIPOLLETTI,5.78,"Hydro"
Argentina,"COMANDANTE ANDRESITO",2.372,"Oil"
Argentina,"COMODORO RIVADAVIA",141.02,"Gas"
Argentina,"COMODORO RIVADAVIA - ANTONIO MORAN",16.56,"Wind"
Argentina,CORRIENTES,1.4,"Oil"
Argentina,COSTANERA,1982.2,"Coal"
Argentina,"CRUZ DE PIEDRA",17.94,"Gas"
Argentina,"CRUZ DEL EJE",5.052,"Oil"
Argentina,"CT 13 DE JULIO",26,"Gas"
Argentina,"CT ALEM",15,"Oil"
Argentina,"CT ALUMINE",6.3,"Oil"
Argentina,"CT ARISTOBULO DEL VALLE",15,"Oil"
Argentina,"CT ARRECIFES",20,"Oil"
Argentina,"CT AÑATUYA",19.2,"Oil"
Argentina,"CT AÑATUYA II",11.5,"Oil"
Argentina,"CT BARILOCHE",20,"Oil"
Argentina,"CT BELL VILLE",15.62,"Oil"
Argentina,"CT BRAGADO",49.8,"Gas"
Argentina,"CT CAPITAN SARMIENTO",5,"Oil"
Argentina,"CT CATAMARCA",19.2,"Oil"
Argentina,"CT CAVIAHUE",5,"Oil"
Argentina,"CT CERES",18,"Oil"
Argentina,"CT CHARATA",19.4,"Oil"
Argentina,"CT CHILECITO",10,"Oil"
Argentina,"CT CIPOLLETTI",5,"Oil"
Argentina,"CT COLON BUENOS AIRES",15.3,"Oil"
Argentina,"CT CONCEPCION DEL URUGUAY",41.78,"Gas"
Argentina,"CT CORRIENTES",20,"Oil"
Argentina,"CT ECOENERGIA (PETROBRAS)",13.2,"Coal"
Argentina,"CT ENSENADA DE BARRAGAN",567,"Gas"
Argentina,"CT ESQUINA",16.5,"Oil"
Argentina,"CT FORMOSA II",30,"Oil"
Argentina,"CT GENERAL VILLEGAS",23.49,"Oil"
Argentina,"CT GOYA",13,"Oil"
Argentina,"CT INDEPENDENCIA",120,"Gas"
Argentina,"CT INGENIERO JUAREZ",4,"Oil"
Argentina,"CT INTA CATAMARCA",7.04,"Oil"
Argentina,"CT ISLA VERDE",24.5,"Oil"
Argentina,"CT JUAN JOSE CASTELLI",15,"Oil"
Argentina,"CT JUNIN",22,"Oil"
Argentina,"CT LA PLATA",40.4,"Oil"
Argentina,"CT LA RIOJA DELIVERY",19.2,"Oil"
Argentina,"CT LA RIOJA SUR",10,"Oil"
Argentina,"CT LAGUNA BLANCA",7,"Oil"
Argentina,"CT LAS ARMAS",10.4,"Gas"
Argentina,"CT LAS ARMAS II",23.37,"Gas"
Argentina,"CT LAS PALMAS",6,"Oil"
Argentina,"CT LIBERTADOR GENERAL SAN MARTIN",15,"Oil"
Argentina,"CT LINCOLN",15.002,"Oil"
Argentina,"CT LOBOS",15.686,"Oil"
Argentina,"CT MAGDALENA",25,"Oil"
Argentina,"CT MATHEU",41,"Gas"
Argentina,"CT MEDANITOS (RINCON DE LOS SAUCES)",32,"Oil"
Argentina,"CT MIRAMAR I",20,"Oil"
Argentina,"CT OLAVARRIA",38.8,"Gas"
Argentina,"CT ORAN",15,"Oil"
Argentina,"CT PARANA",40,"Gas"
Argentina,"CT PARQUE INDUSTRIAL CATAMARCA",15,"Oil"
Argentina,"CT PASO DE LA PATRIA",7.2,"Oil"
Argentina,"CT PEHUAJO",22.4,"Oil"
Argentina,"CT PINAMAR",21,"Gas"
Argentina,"CT PIRANE",16.25,"Oil"
Argentina,"CT PLUSPETROL NORTE",246,"Gas"
Argentina,"CT RAFAELA",19.2,"Oil"
Argentina,"CT REALICO",24,"Oil"
Argentina,"CT ROCA",130,"Gas"
Argentina,"CT SAENZ PEÑA  I",20,"Oil"
Argentina,"CT SAENZ PEÑA  II",15,"Oil"
Argentina,"CT SALTO",22.5,"Oil"
Argentina,"CT SAN MARTIN NORTE III",5.1,"Oil"
Argentina,"CT SAN MIGUEL DE TUCUMAN",396.62,"Gas"
Argentina,"CT SAN MIGUEL NORTE III",11.5,"Oil"
Argentina,"CT SANTA ROSA",6,"Oil"
Argentina,"CT TARTAGAL",10,"Oil"
Argentina,"CT TEREVINTOS",8,"Oil"
Argentina,"CT TINOGASTA",15,"Oil"
Argentina,"CT TUCUMAN",438,"Gas"
Argentina,"CT VENADO TUERTO",19.2,"Oil"
Argentina,"CT VIALE",10,"Oil"
Argentina,"CT VILLA ANGELA",15,"Oil"
Argentina,"CT VILLA REGINA",5,"Oil"
Argentina,"CUESTA DEL VIENTO",10.55,"Hydro"
Argentina,Cafayate,80,"Solar"
Argentina,"Caldenes del Oeste",30,"Solar"
Argentina,Cauchari,300,"Solar"
Argentina,"DEAN FUNES",70.12,"Gas"
Argentina,DIQUE,68.44,"Gas"
Argentina,"DOCK SUD",872.3,"Gas"
Argentina,"EL CADILLAL",14,"Hydro"
Argentina,"EL CARRIZAL",17,"Hydro"
Argentina,"EL CHOCON",1200,"Hydro"
Argentina,"EL TIGRE",14.4,"Hydro"
Argentina,"EL TUNAL",11,"Hydro"
Argentina,EMBALSE,648,"Nuclear"
Argentina,ESCABA,24,"Hydro"
Argentina,ESQUINA,2.215,"Oil"
Argentina,"EX CENTRAL BUENOS AIRES",321,"Gas"
Argentina,"FILO MORADO",67.5,"Gas"
Argentina,"FITZ SIMON",10.8,"Hydro"
Argentina,"FLORENTINO AMEGHINO",60,"Hydro"
Argentina,FUTALEUFU,472,"Hydro"
Argentina,"GENERACION FRIAS SA",60,"Gas"
Argentina,"GENERAL ACHA",1.8,"Wind"
Argentina,"GENERAL LEVALLE",72.78,"Gas"
Argentina,"GENERAL SAN MARTIN",6,"Hydro"
Argentina,GOYA,1.33,"Oil"
Argentina,"GOYA (ELECTROPATAGONIA SA)",17.3,"Gas"
Argentina,"GUILLERMO CESPEDES",5.2,"Hydro"
Argentina,"H. PICHI PICUN LEUFU",285,"Hydro"
Argentina,"ISLA VERDE",3.115,"Oil"
Argentina,"ITA IBATE",1.052,"Oil"
Argentina,ITUZAINGO,1.33,"Oil"
Argentina,Iglesia-Guañizuil,80,"Solar"
Argentina,"JULIAN  ROMERO",6.2,"Hydro"
Argentina,"LA CRUZ",1.33,"Oil"
Argentina,"LA PLATA COGENERACION",128,"Gas"
Argentina,"LA RIOJA",42,"Oil"
Argentina,"LA TABLADA",22.15,"Gas"
Argentina,"LA VIÑA",16,"Hydro"
Argentina,"LAS MADERAS",30,"Hydro"
Argentina,"LOS CORONELES (EX 25  DE MAYO)",6.6,"Hydro"
Argentina,"LOS MOLINOS I",59.04,"Hydro"
Argentina,"LOS MOLINOS II",4.5,"Hydro"
Argentina,"LOS QUIROGA",2.5,"Hydro"
Argentina,"LOS REYUNOS",224,"Hydro"
Argentina,"LUJAN DE CUYO",549.76,"Gas"
Argentina,"MAR DE AJO",34,"Gas"
Argentina,"MAR DEL PLATA (9 DE JULIO)",201.3,"Gas"
Argentina,"MAYOR BURATOVICH",2.02,"Wind"
Argentina,MBURUCUYA,1.035,"Oil"
Argentina,MERCEDES,2.308,"Oil"
Argentina,"MODESTO MARANZANA",250,"Gas"
Argentina,NECOCHEA,206,"Coal"
Argentina,"NIHUIL I",74.24,"Hydro"
Argentina,"NIHUIL II",133.12,"Hydro"
Argentina,"NIHUIL III",52,"Hydro"
Argentina,"NIHUIL IV",22.4,"Hydro"
Argentina,"NUEVA ESPERANZA",3.38,"Oil"
Argentina,"NUEVO PUERTO",1217.7,"Gas"
Argentina,"OBERA (TG Nº21 FIAT )",17.2,"Gas"
Argentina,ORENSE,1.72,"Oil"
Argentina,PARANA,845.26,"Other"
Argentina,"PARQUE EOLICO ARAUCO SAPEM I",25.2,"Wind"
Argentina,"PARQUE EOLICO ARAUCO SAPEM II",25.2,"Wind"
Argentina,"PARQUE EOLICO DIADEMA",6.3,"Wind"
Argentina,"PARQUE EOLICO EL TORDILLO",3,"Wind"
Argentina,"PARQUE EOLICO LOMA BLANCA IV (ENARSA)",50,"Wind"
Argentina,"PARQUE EOLICO RAWSON I (ENARSA)",48.6,"Wind"
Argentina,"PARQUE EOLICO RAWSON II (ENARSA)",28.8,"Wind"
Argentina,"PASO DE LOS LIBRES",2.135,"Oil"
Argentina,PATAGONIA,123.7,"Gas"
Argentina,PERUGORRIA,1.11,"Oil"
Argentina,"PICO TRUNCADO - JORGE ROMANUTTI",2.4,"Wind"
Argentina,"PICO TRUNCADO I",45.6,"Gas"
Argentina,"PIEDRA DEL AGUILA (CPSA)",1400,"Hydro"
Argentina,"PIEDRAS MORAS",6.3,"Hydro"
Argentina,"PILAR  BICENTENARIO",467,"Gas"
Argentina,"PILAR ZANICHELLI",216,"Coal"
Argentina,"PLANICIE BANDERITA",472,"Hydro"
Argentina,"PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1",1.2,"Solar"
Argentina,"PRESIDENTE SARMIENTO",31.5,"Gas"
Argentina,"PUEBLO VIEJO",19.2,"Hydro"
Argentina,"PUERTO MADRYN",42,"Gas"
Argentina,"PUERTO NUEVO",589,"Coal"
Argentina,"PUNTA ALTA - CENTENARIO",1.8,"Wind"
Argentina,"QUEBRADA DE ULLUM",45,"Hydro"
Argentina,"RIO CORRALITO",13.2,"Hydro"
Argentina,"RIO CUARTO",35.57,"Gas"
Argentina,"RIO GRANDE",750,"Hydro"
Argentina,"RIO HONDO",19,"Hydro"
Argentina,"SALTO ANDERSEN",7.9,"Hydro"
Argentina,"SALTO GRANDE (MITAD ARGENTINA)",945,"Hydro"
Argentina,"SAN FRANCISCO",40,"Gas"
Argentina,"SAN MARTIN DE LOS ANDES",4.218,"Oil"
Argentina,"SAN NICOLAS",644,"Coal"
Argentina,"SAN PEDRO",2.216,"Oil"
Argentina,"SAN ROQUE",26,"Hydro"
Argentina,"SANTA ISABEL",2.25,"Oil"
Argentina,"SANTO TOME",2.684,"Oil"
Argentina,SORRENTO,226,"Coal"
Argentina,SUDOESTE,140,"Gas"
Argentina,Saujil,22.5,"Solar"
Argentina,TARTAGAL,17,"Gas"
Argentina,"TENARIS SIDERCA CETE II",163.2,"Gas"
Argentina,TOSTADO,3.2,"Oil"
Argentina,ULLUM,42,"Hydro"
Argentina,URUGUA-I,120,"Hydro"
Argentina,"VENADO TUERTO",9.1,"Oil"
Argentina,"VILLA GESELL",130,"Gas"
Argentina,"VILLA MARIA (LAS PLAYAS)",48,"Gas"
Argentina,"VUELTA DE OBLIGADO",560,"Gas"
Argentina,YACYRETA,1550,"Hydro"
Armenia,Armenian-2,375,"Nuclear"
Armenia,Hrazadan,1110,"Gas"
Armenia,"New Yerevan",271,"Gas"
Armenia,"Sevan-Hrazdan Cascade",561,"Hydro"
Armenia,Shamb,170,"Hydro"
Armenia,Spandaryan,76,"Hydro"
Armenia,Tatev,158,"Hydro"
Armenia,Yerevan,550,"Gas"
Australia,"Adelaide Showgrounds",1,"Solar"
Australia,"Albany Wind Farm",21.6,"Wind"
Australia,"Amcor Gawler",4,"Oil"
Australia,Angaston,50,"Oil"
Australia,Anglesea,165,"Coal"
Australia,Angurugu,3.6,"Oil"
Australia,"Appin (Mine)",55.6,"Gas"
Australia,"Ararat Wind Farm",240,"Wind"
Australia,"Argyle Diamond Mine",32,"Oil"
Australia,Bairnsdale,94,"Gas"
Australia,"Ballarat Base Hospital",3,"Gas"
Australia,Banimboola,12.85,"Hydro"
Australia,"Bankstown Sports Club",2,"Oil"
Australia,"Bannerton Solar Farm",88,"Solar"
Australia,"Barcaldine (Len Wishaw)",37,"Gas"
Australia,"Barcaldine KDB",20,"Solar"
Australia,"Barcaldine YD",10.9,"Solar"
Australia,"Barron Gorge",60,"Hydro"
Australia,Bastyan,79.9,"Hydro"
Australia,Bayswater,2640,"Coal"
Australia,Belconnen,1,"Waste"
Australia,"Bell Bay (Bell Bay Three)",115,"Gas"
Australia,"Bendeela (Shoalhaven Scheme)",240,"Hydro"
Australia,Berrimah,10,"Gas"
Australia,Berwick,7.2,"Waste"
Australia,"Beryl AU",87,"Solar"
Australia,Bidyadanga,1.3,"Oil"
Australia,"Blayney Wind Farm",9.9,"Wind"
Australia,Blowering,70,"Hydro"
Australia,"Blue Lake Milling Power Plant",1,"Oil"
Australia,"Bluff Point (Woolnorth) Wind Farm",65,"Wind"
Australia,"Boco Rock",113,"Wind"
Australia,"Bodangora Wind Farm",113,"Wind"
Australia,"Bogong (Mount Beauty Hydro Scheme)",300,"Hydro"
Australia,"Braemar 1",504,"Gas"
Australia,"Braemar 2",519,"Gas"
Australia,"Bremer Bay Diesel Backup",1.3,"Oil"
Australia,Brewer,8.5,"Gas"
Australia,"Brisbane BNE",6,"Solar"
Australia,Broadmeadows,12.2,"Waste"
Australia,Broadwater,38,"Biomass"
Australia,"Broken Hill",50,"Gas"
Australia,"Broken Hill Solar Plant",53,"Solar"
Australia,Brooklyn,2.83,"Waste"
Australia,Broome,39.6,"Gas"
Australia,"Brown Mountain",4.95,"Hydro"
Australia,"Browns Plains",2.2,"Waste"
Australia,"Bulwer Island",33,"Gas"
Australia,"Bungala I",110,"Solar"
Australia,"Bungala II",110,"Solar"
Australia,Burrendong,19,"Hydro"
Australia,"Burrinjuck Power Station",27,"Hydro"
Australia,"Burrup Peninsula (Karratha Gas Plant)",240,"Gas"
Australia,"Burrup Peninsula (Pluto Phase 1)",160,"Gas"
Australia,"Butlers Gorge",14.4,"Hydro"
Australia,"CSIRO Energy Centre",1.5,"Solar"
Australia,"Callide A",30,"Coal"
Australia,"Callide B",700,"Coal"
Australia,"Callide C",840,"Coal"
Australia,Camballin,1.04,"Gas"
Australia,"Canning Vale",4,"Waste"
Australia,"Cannington Mine",40,"Gas"
Australia,"Canunda Wind Farm",46,"Wind"
Australia,"Cape Bridgewater Wind Farm",58,"Wind"
Australia,"Cape Lambert",105,"Gas"
Australia,"Cape Nelson North Wind Farm",22,"Wind"
Australia,"Cape Nelson South Wind Farm",44,"Wind"
Australia,"Cape Preston",450,"Gas"
Australia,"Cape Sir William Grant Wind Farm",54,"Wind"
Australia,"Capital Hill Wind Farm",140,"Wind"
Australia,"Capral (Aluminium Smelter)",300,"Gas"
Australia,Carnarvon,15,"Gas"
Australia,Catagunya,48,"Hydro"
Australia,"Cathedral Rocks Wind Farm",66,"Wind"
Australia,"Cawse Nickel Mine",21,"Gas"
Australia,Cethana,85,"Hydro"
Australia,"Challicum Hills Wind Farm",52.5,"Wind"
Australia,"Channel Island",310,"Gas"
Australia,"Charlestown Square",2.8,"Gas"
Australia,Childers,75,"Solar"
Australia,"Christmas Creek Iron Ore Mine",58,"Oil"
Australia,"Clare Solar Farm",130,"Solar"
Australia,Claytons,11,"Waste"
Australia,"Clements Gap Wind Farm",57,"Wind"
Australia,"Clermont Solar Farm",100,"Solar"
Australia,Cloudbreak,44,"Oil"
Australia,Clover,30,"Hydro"
Australia,Cluny,17,"Hydro"
Australia,Cockburn,240,"Gas"
Australia,"Codrington Wind Farm",18.2,"Wind"
Australia,"Collgar Wind Farm",206,"Wind"
Australia,"Collie (Bluewaters)",416,"Coal"
Australia,"Collie A",340,"Coal"
Australia,Collinsville,190,"Coal"
Australia,"Collinsville Solar Farm",42,"Solar"
Australia,Colongra,724,"Gas"
Australia,"Condamine A",144,"Gas"
Australia,"Condong Sugar Mill",30,"Biomass"
Australia,Copeton,24,"Hydro"
Australia,"Coral Bay Diesel Backup",2.24,"Oil"
Australia,Corio,1,"Waste"
Australia,"Crookwell Wind Farm",4.8,"Wind"
Australia,"Crowlands Wind Farm",80,"Wind"
Australia,"Cullerin Range Wind Farm",30,"Wind"
Australia,Daandine,33,"Gas"
Australia,Dampier,120,"Gas"
Australia,"Darling Downs",644,"Gas"
Australia,"Darling Downs Solar Farm",110,"Solar"
Australia,"Darlot Gold Mine",11.7,"Gas"
Australia,"Dartmouth (Mount Beauty Hydro Scheme)",150,"Hydro"
Australia,"Darwin DRW",4,"Solar"
Australia,"Daydream Solar Farm",50,"Solar"
Australia,DeGrussa,10.6,"Solar"
Australia,"Denham Diesel Backup",1.6,"Oil"
Australia,Derby,12.53,"Gas"
Australia,"Devils Gate",60,"Hydro"
Australia,Diamantina,242,"Gas"
Australia,"Dry Creek",156,"Gas"
Australia,Dubbo,30,"Solar"
Australia,"EarthPower Biomass Plant",3.9,"Waste"
Australia,"Eastern Creek",5.4,"Waste"
Australia,"Eastern Creek 2",8.984,"Waste"
Australia,Eildon,120,"Hydro"
Australia,"Eildon Small Hydro",5,"Hydro"
Australia,Elliott,1,"Oil"
Australia,"Emerald Solar Farm",68,"Solar"
Australia,"Emu Downs",20,"Solar"
Australia,"Emu Downs Wind Farm",79.2,"Wind"
Australia,"Energy Brix",195,"Coal"
Australia,Eraring,41.5,"Oil"
Australia,Esperance,33,"Gas"
Australia,"Esperance Wind Farm Nine Mile Beach",3.6,"Wind"
Australia,"Esperance Wind Farm Ten Mile Lagoon",2.03,"Wind"
Australia,Exmouth,8,"Gas"
Australia,Fisher,43.2,"Hydro"
Australia,"Fitzroy Crossing",4.06,"Gas"
Australia,"Gannawarra Solar Farm",60,"Solar"
Australia,Geraldton,21,"Gas"
Australia,"German Creek",45.2,"Gas"
Australia,Gladstone,1680,"Coal"
Australia,Glenbawn,5.8,"Hydro"
Australia,"Glennies Creek",13,"Gas"
Australia,Glenorchy,1.6,"Waste"
Australia,Goondiwindi,4.5,"Solar"
Australia,Gordon,432,"Hydro"
Australia,Gosnells,1.1,"Waste"
Australia,"Grange Avenue",2,"Waste"
Australia,"Grasmere Wind Farm (Albany Stage II)",13.8,"Wind"
Australia,"Greenough River Solar Farm",10,"Solar"
Australia,"Griffith Solar Farm",36,"Solar"
Australia,Gullen,10,"Solar"
Australia,"Gullen Range Wind Farm",165.5,"Wind"
Australia,Gunning,47,"Wind"
Australia,Guthega,80,"Hydro"
Australia,"Hallam Road",8.984,"Waste"
Australia,"Hallet 5 - The Bluff",52.5,"Wind"
Australia,Hallett,228.3,"Gas"
Australia,"Hallett 1 Brown Hill Wind Farm",94.5,"Wind"
Australia,"Hallett 2 Hallet Hill Wind Farm",71.4,"Wind"
Australia,"Halls Creek",3.69,"Gas"
Australia,"Hamilton Solar Farm",69,"Solar"
Australia,"Haughton River Solar Farm",500,"Solar"
Australia,"Hayman Solar Farm",180,"Solar"
Australia,Hazelwood,1600,"Coal"
Australia,Henderson,3.2,"Waste"
Australia,Highbury,2,"Waste"
Australia,Hobart,1,"Waste"
Australia,"Hopetoun Diesel Backup",1.3,"Oil"
Australia,"Hopetoun Wind Turbines",1.2,"Wind"
Australia,Hughendon,20,"Solar"
Australia,Hume,70,"Hydro"
Australia,Hunter,29,"Oil"
Australia,"Hunter Valley",50,"Gas"
Australia,"Inkerman Sugar Mill",10.5,"Biomass"
Australia,"Invicta Sugar Mill",150,"Biomass"
Australia,"Isis Central Sugar Mill",25,"Biomass"
Australia,"Jacks Gully",2.3,"Waste"
Australia,"Jeeralang A",204,"Gas"
Australia,"Jeeralang B",228,"Gas"
Australia,"Jindabyne Dam Mini Hydro",1.1,"Hydro"
Australia,"John Butters",144,"Hydro"
Australia,Jounama,14,"Hydro"
Australia,"Jundee Gold Mine",21,"Gas"
Australia,"KRC Cogeneration Plant",4.2,"Gas"
Australia,"Kalamia Sugar Mill",9,"Biomass"
Australia,Kalamunda,1.3,"Oil"
Australia,"Kalbarri Wind Farm",1.7,"Wind"
Australia,"Kalgoorlie (Parkeston)",110,"Gas"
Australia,"Kalgoorlie Nickel Smelter",42,"Gas"
Australia,Kambalda,42,"Gas"
Australia,"Kangaroo Valley (Shoalhaven Scheme)",160,"Hydro"
Australia,"Karadoc Solar Farm",112,"Solar"
Australia,Kareeya,88,"Hydro"
Australia,Karratha,86,"Gas"
Australia,Katherine,34.7,"Gas"
Australia,Kemerton,260.9,"Gas"
Australia,"Kiata Wind Farm",31.05,"Wind"
Australia,"Kidston I",50,"Solar"
Australia,"King Island (Currie)",8.55,"Oil"
Australia,"Kogan Creek",744,"Coal"
Australia,Koombooloomba,7.3,"Hydro"
Australia,Kununurra,12.4,"Oil"
Australia,Kwinana,21,"Gas"
Australia,"Kwinana (Alcoa Refinery)",74.5,"Gas"
Australia,"Kwinana Cogeneration",123,"Gas"
Australia,"Kwinana High Efficiency Gas Turbine Plant",200,"Gas"
Australia,"Kwinana NewGen",320,"Gas"
Australia,"Kwinana Swift",120,"Gas"
Australia,"Ladbroke Grove",80,"Gas"
Australia,"Lake Bonney Stage 1 Wind Farm",80.5,"Wind"
Australia,"Lake Bonney Stage 2 Wind Farm",159,"Wind"
Australia,"Lake Bonney Stage 3 Wind Farm",39,"Wind"
Australia,"Lake Cargelligo CSP",3,"Solar"
Australia,"Lake Echo",32.4,"Hydro"
Australia,"Lake Glenmaggie",4,"Hydro"
Australia,"Lake Keepit",6.5,"Hydro"
Australia,"Lake William Hovell",2,"Hydro"
Australia,"Lakeland QLD",10.9,"Solar"
