"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,1.6802,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,2.4592,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,2.9161,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,-0.5674,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,-0.582,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,-0.5601,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,-0.5315,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,-0.495,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,-0.4479,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,-0.3857,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,-0.2392,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,0.0366,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,0.3947,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,1.0109,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,1.4277,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,1.8252,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,0.07,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0.03,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,0.26,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,0.59,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,0.79,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,1.3,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,1.58,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,2.13,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,1.8,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,1.71,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,2.45,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,2.84,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,2.65,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,-0.5674,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,-0.582,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,-0.5601,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,-0.5315,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,-0.495,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,-0.4479,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,-0.3857,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,-0.2392,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,0.0366,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,0.3947,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,1.0109,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,1.4277,,
"IR3TIB","Short-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,1.8252,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,1.685714,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,1.45,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,1.759,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,1.879474,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,2.132174,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,2.704,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,2.918571,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,3.315454,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,3.0215,,
